metric_id,지표명,유형,단위,당월,전월,절대변화,상대변화율,퍼센트포인트변화,비교상태,이유
as_order_backlog,A/S 수주 잔량,카운트형,개,9776987.0,9776987.0,0.0,0.0,,비교 가능,
as_share,A/S 비중,비율형,%,0.4166738000043465,0.4225894369455268,-0.005915636941180302,-1.399854427015138,-0.5915636941180302,비교 가능,
as_stock_coverage,A/S 재고 대 실수요 배수,비율형,배,0.3919690186762036,0.39442447862516333,-0.0024554599489597373,-0.6225424845635037,,비교 가능,
cancelled_order_stock,취소 수주 관련 재고금액,금액형,원,150652553.4,152121564.10000002,-1469010.7000000179,-0.9656820903013695,,비교 가능,
excess_stock_amount,수주 초과 재고금액,금액형,원,769540250.0,779002681.0,-9462431.0,-1.2146852932332848,,비교 가능,
order_backlog_qty,수주 잔량,카운트형,개,18770811.0,18770811.0,0.0,0.0,,비교 가능,
order_progress_rate,수주 진행률,비율형,%,0.6666412114924855,0.6666412114924855,0.0,0.0,0.0,비교 가능,
overdue_order_dobun,납기 초과 도번 수,카운트형,개,329.0,249.0,80.0,32.1285140562249,,비교 가능,
plan_achievement_stock,출하 계획 달성률,비율형,%,0.8827961232089571,0.8831482634084845,-0.0003521401995274509,-0.03987328222425261,-0.03521401995274509,비교 가능,
plan_rate_injection,사출 계획 달성률,비율형,%,0.9451065261883254,0.9539031560570878,-0.008796629868762396,-0.9221722155866259,-0.8796629868762396,비교 가능,
plan_rate_inspect,검사 계획 달성률,비율형,%,0.8338952009606877,0.8264271585629513,0.007468042397736352,0.9036540389987062,0.7468042397736352,비교 가능,
plan_rate_laser,레이저 계획 달성률,비율형,%,0.8113475915140146,0.8059848917824218,0.005362699731592757,0.6653598332014932,0.5362699731592757,비교 가능,
plan_rate_paint,도장 계획 달성률,비율형,%,0.6173280343987907,0.6218711103364988,-0.004543075937708085,-0.730549443798699,-0.45430759377080854,비교 가능,
plan_rate_print,인쇄 계획 달성률,비율형,%,0.8423558836580741,0.8487454049986844,-0.006389521340610327,-0.7528195502419516,-0.6389521340610327,비교 가능,
process_gap,공정 간 달성률 격차,비율형,%,0.32777849178953467,0.332032045720589,-0.00425355393105431,-1.2810672903041875,-0.425355393105431,비교 가능,
raw_material_qty,원재료 재고 수량,카운트형,개,1904602.0,1932541.0,-27939.0,-1.4457131827992264,,비교 가능,
stagnant_stock_amount,무출하 재고금액,금액형,원,22473366.0,22975828.0,-502462.0,-2.1869157446687013,,비교 가능,
stock_as_item,A/S품목 재고금액 (일반창고),금액형,원,398739724.29999995,421330385.29999995,-22590661.0,-5.361745031494647,,비교 가능,
stock_as_warehouse,A/S창고 재고금액,금액형,원,200336074.0,207248779.0,-6912705.0,-3.3354623527118585,,비교 가능,
stock_gongjeong,공정창고 재고 수량,카운트형,개,152441.0,158300.0,-5859.0,-3.7012002526847754,,비교 가능,
stock_handling,핸들링 재고금액,금액형,원,614692207.2,638005818.1,-23313610.899999976,-3.654137664359957,,비교 가능,
stock_identity_gap,재고 항등식 차이,금액형,원,-1.1186784831807017e-10,-6.639311322942376e-11,0.0,,,비교 가능,두 기간 모두 허용오차(±1) 안 — 변화율을 내지 않는다
stock_qty_total,주간 총재고 수량,카운트형,개,9658903.0,9983218.0,-324315.0,-3.248601803546712,,비교 가능,
stock_raw_material,원재료 재고금액,금액형,원,213719859.0,220861483.0,-7141624.0,-3.2335307646195606,,비교 가능,
stock_to_backlog_ratio,재고 대 수주잔량 배수,비율형,배,0.514158498532642,0.5152561602159864,-0.0010976616833444641,-0.21303222903426197,,비교 가능,
weekly_shipment_qty,주간 출하 수량,카운트형,개,429558.0,445543.0,-15985.0,-3.587756961729844,,비교 가능,
weekly_stock_amount,주간 총재고금액,금액형,원,1437757301.5,1487446465.4,-49689163.900000095,-3.3405682191485,,비교 가능,
